Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,1.11,0.0,1.05,0.0,1.05,0.0,1.03,0.0,1.12,0.0,1.07,0.0,1.02,0.0,1.0,0.0,1.02,0.0,0.93
0.02,1.11,0.02,1.05,0.02,1.05,0.02,1.03,0.02,1.12,0.02,1.07,0.02,1.02,0.02,1.0,0.02,1.02,0.02,0.93
0.04,1.11,0.04,1.05,0.04,1.05,0.04,1.03,0.04,1.12,0.04,1.07,0.04,1.02,0.04,1.01,0.04,1.01,0.04,0.93
0.06,1.11,0.06,1.05,0.06,1.05,0.06,1.03,0.06,1.12,0.06,1.07,0.06,1.02,0.06,1.0,0.06,1.01,0.06,0.93
0.08,1.11,0.08,1.05,0.08,1.05,0.08,1.02,0.08,1.12,0.08,1.07,0.08,1.02,0.08,0.99,0.08,1.0,0.08,0.93
0.1,1.11,0.1,1.05,0.1,1.05,0.1,1.02,0.1,1.12,0.1,1.07,0.1,1.02,0.1,0.99,0.1,1.0,0.1,0.93
0.12,1.11,0.12,1.05,0.12,1.05,0.12,1.02,0.12,1.12,0.12,1.06,0.12,1.02,0.12,0.98,0.12,0.99,0.12,0.93
0.14,1.1,0.14,1.04,0.14,1.05,0.14,1.01,0.14,1.11,0.14,1.05,0.14,1.02,0.14,0.96,0.14,0.98,0.14,0.93
0.16,1.1,0.16,1.03,0.16,1.05,0.16,1.01,0.16,1.11,0.16,1.04,0.16,1.02,0.16,0.95,0.16,0.97,0.16,0.93
0.18,1.1,0.18,1.02,0.18,1.05,0.18,1.0,0.18,1.1,0.18,1.03,0.18,1.01,0.18,0.94,0.18,0.96,0.18,0.93
0.2,1.1,0.2,1.0,0.2,1.05,0.2,0.99,0.2,1.09,0.2,1.01,0.2,1.01,0.2,0.92,0.2,0.94,0.2,0.92
0.22,1.1,0.22,0.99,0.22,1.04,0.22,0.97,0.22,1.07,0.22,0.99,0.22,1.01,0.22,0.91,0.22,0.93,0.22,0.92
0.24,1.09,0.24,0.97,0.24,1.04,0.24,0.95,0.24,1.05,0.24,0.98,0.24,1.0,0.24,0.89,0.24,0.92,0.24,0.91
0.26,1.08,0.26,0.95,0.26,1.03,0.26,0.93,0.26,1.04,0.26,0.96,0.26,0.99,0.26,0.87,0.26,0.91,0.26,0.91
