Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.0,0.97,0.0,0.98,0.0,0.9,0.0,0.89,0.0,0.87,0.0,1.0,0.0,0.93,0.0,0.89,0.0,0.8,0.0,0.86
0.02,0.97,0.02,0.98,0.02,0.9,0.02,0.89,0.02,0.87,0.02,1.0,0.02,0.92,0.02,0.88,0.02,0.8,0.02,0.86
0.04,0.97,0.04,0.98,0.04,0.9,0.04,0.89,0.04,0.87,0.04,1.0,0.04,0.92,0.04,0.87,0.04,0.8,0.04,0.86
0.06,0.97,0.06,0.98,0.06,0.9,0.06,0.89,0.06,0.87,0.06,1.0,0.06,0.91,0.06,0.87,0.06,0.8,0.06,0.86
0.08,0.97,0.08,0.98,0.08,0.9,0.08,0.89,0.08,0.87,0.08,1.0,0.08,0.91,0.08,0.86,0.08,0.8,0.08,0.86
0.1,0.97,0.1,0.98,0.1,0.9,0.1,0.89,0.1,0.87,0.1,1.0,0.1,0.9,0.1,0.85,0.1,0.79,0.1,0.86
0.12,0.97,0.12,0.98,0.12,0.9,0.12,0.89,0.12,0.87,0.12,1.0,0.12,0.89,0.12,0.84,0.12,0.79,0.12,0.86
0.14,0.97,0.14,0.98,0.14,0.9,0.14,0.89,0.14,0.87,0.14,1.0,0.14,0.89,0.14,0.83,0.14,0.79,0.14,0.86
0.16,0.97,0.16,0.98,0.16,0.9,0.16,0.89,0.16,0.87,0.16,1.0,0.16,0.88,0.16,0.82,0.16,0.8,0.16,0.86
0.18,0.97,0.18,0.98,0.18,0.9,0.18,0.89,0.18,0.87,0.18,1.0,0.18,0.87,0.18,0.81,0.18,0.8,0.18,0.86
0.2,0.97,0.2,0.97,0.2,0.9,0.2,0.89,0.2,0.87,0.2,0.99,0.2,0.86,0.2,0.8,0.2,0.8,0.2,0.85
0.22,0.97,0.22,0.97,0.22,0.9,0.22,0.89,0.22,0.86,0.22,0.99,0.22,0.86,0.22,0.79,0.22,0.8,0.22,0.85
0.24,0.97,0.24,0.96,0.24,0.9,0.24,0.89,0.24,0.86,0.24,0.98,0.24,0.85,0.24,0.78,0.24,0.79,0.24,0.85
0.26,0.96,0.26,0.96,0.26,0.89,0.26,0.89,0.26,0.86,0.26,0.97,0.26,0.84,0.26,0.77,0.26,0.79,0.26,0.84
0.28,0.96,0.28,0.96,0.28,0.89,0.28,0.89,0.28,0.85,0.28,0.97,0.28,0.83,0.28,0.76,0.28,0.78,0.28,0.84
