Time (s) Run #1,Position (m) Run #1,Velocity (m/s) Run #1,Acceleration (m/s²) Run #1
0.06,1.11,0.0,0.49
0.08,1.11,0.0,0.16
0.1,1.11,0.0,-0.03
0.12,1.11,-0.000973,-0.14
0.14,1.11,0.0,-0.25
0.16,1.11,-0.01,-0.34
0.18,1.11,-0.02,-0.5
0.2,1.1,-0.03,-0.81
0.22,1.1,-0.05,-1.58
0.24,1.1,-0.08,-3.32
0.26,1.1,-0.16,-5.91
0.28,1.1,-0.32,-8.18
0.3,1.09,-0.52,-8.68
0.32,1.08,-0.7,-7.5
0.34,1.06,-0.82,-6.25
0.36,1.04,-0.92,-5.91
0.38,1.02,-1.05,-6.18
0.4,1.0,-1.18,-6.31
0.42,0.98,-1.3,-6.17
0.44,0.95,-1.42,-5.67
0.46,0.92,-1.54,-5.09
0.48,0.89,-1.62,-4.97
0.5,0.85,-1.72,-5.47
0.52,0.82,-1.84,-5.93
0.54,0.78,-1.97,-5.56
0.56,0.74,-2.07,-4.97
0.58,0.7,-2.15,-4.72
0.6,0.65,-2.26,-4.72
0.62,0.61,-2.35,-4.52
0.64,0.56,-2.44,-4.05
0.66,0.51,-2.51,-3.61
0.68,0.46,-2.58,-3.25
0.7,0.41,-2.64,-2.97
0.72,0.35,-2.7,-2.79
0.74,0.3,-2.75,-0.87
0.76,0.24,-2.81,212.68
0.78,0.19,-2.64,504.09
